ID,Year,JT,Age,OR_cal,IW_cal
TS_92,14,52,81,786.8800981,11.84354651
TS_92,14,52,82,798.7236446,13.25027713
TS_92,14,52,83,811.9739218,10.11495591
TS_92,14,52,84,822.0888777,13.80471657
TS_92,14,52,85,835.8935943,15.23995694
TS_92,14,52,86,851.1335512,17.60401465
TS_92,14,52,87,868.7375658,13.16924945
TS_92,14,52,88,881.9068153,13.23977355
TS_92,14,52,89,895.1465888,15.88817841
TS_92,14,52,90,911.0347672,16.98730394
TS_92,14,52,91,928.0220712,16.95504292
TS_92,14,52,92,944.9771141,13.25928021
TS_92,14,52,93,958.2363943,13.44309301
TS_92,14,52,94,971.6794873,10.84645584
TS_92,14,52,95,982.5259432,10.75792559
TS_92,14,52,96,993.2838688,11.19907631
TS_92,14,52,97,1004.482945,11.77527318
TS_92,14,52,98,1016.258218,"""NA"""
TS_94,19,71,1,10.91697993,1.197409111
TS_94,19,71,2,12.11438904,1.767603926
TS_94,19,71,3,13.88199297,1.165148088
TS_94,19,71,4,15.04714106,1.321201406
TS_94,19,71,5,16.36834246,1.470502417
TS_94,19,71,6,17.83884488,1.561283433
TS_94,19,71,7,19.40012831,1.470502417
TS_94,19,71,8,20.87063073,1.428488062
TS_94,19,71,9,22.29911879,1.456997803
TS_94,19,71,10,23.7561166,1.290440896
TS_94,19,71,11,25.04655749,1.282938333
TS_94,19,71,12,26.32949583,1.475754211
TS_94,19,71,13,27.80525004,1.624304966
TS_94,19,71,14,29.429555,1.683575216
TS_94,19,71,15,31.11313022,2.080460817
TS_94,19,71,16,33.19359104,2.123225428
TS_94,19,71,17,35.31681646,2.055702358
TS_94,19,71,18,37.37251882,2.258271569
TS_94,19,71,19,39.63079039,2.681416142
TS_94,19,71,20,42.31220653,2.370059763
TS_94,19,71,21,44.6822663,2.89673971
TS_94,19,71,22,47.57900601,2.583132562
TS_94,19,71,23,50.16213857,2.739936136
TS_94,19,71,24,52.9020747,3.223101216
TS_94,19,71,25,56.12517592,2.971765343
